,Zipcode,ParkName,ParkType,ParkServiceArea,PSAManager,email,Number,Acreage,SupDist,ParkID,Location 1,Lat,Long,size,neighborhood,attributes,google_id,google_type,google_reviews
0,94044.0,SHARP PARK,Regional Park,Outside SF,"Castile, Steve",steve.castile@sfgov.org,(415) 841-0856,409.69,,10380,"1 Sharp Park Rd Pacifica, CA (37.62439438, -122.48189132)",37.62439438,-122.48189132,size_huge,Pacifica,"[Regional Park, size_huge, Pacifica]",ChIJ-1L_KFp6j4ARaoyVoHn9cKw,"[point_of_interest, establishment]","Sharp Park Golf Course is unique in that you could take your entire family even if they don't play golf. It is bordered by scenic wonders of the California coast, beautiful beaches of the Pacific Ocean and hiking trails that are filled with wild life. Bird watching on hikes and picnics is really great. So, while the family enjoys the beach and hiking you can play golf then join them for swimming, surfing or hiking, bird watching and the picnic after your round.  

I've been playing Sharps for over 20 years. I've never seen it in better shape than at this point in time. Now, it's not 100% just yet. But the greens are better than I've ever seen them. And the fairways even with this horrible drought are in are in good shape and in some places they're as good as you'll get anywhere. I must admit 16,17 are so dried out it will be a wonder if they ever recover but with the great grounds crew they have those fairway will come back. 

Sharps is a terrific golf course challenging in its own way especially because your playing on an ocean fronted course. Ocean view golf is usually played out for multiple hundreds of dollars on courses like Spanish Bay, Torrey Pines or Pebble Beach, but Sharps is a Muni so the greens fees are a pittance in comparison.

The clubhouse staff, grounds keepers and Marshals are salt of the earth. The restaurant is pretty darn good . . . well, you know  . . . for golf course food it's better than most public courses.

It's not Saint Andrews, or Pebble Beach, or Harding or the Olympic club. It's not too challenging . . . so if you put three good shots together, per hole, it's fairly easy to break 90.

Once those 16 and 17th fairways are fixed this is a Five Star course any day of the week!
The front nine holes are terrible. Four of the nine holes had temporary ""greens"" on the fairway. You couldn't putt the ball. The back nine were better. The fairways are in poor condition but the greens are fine. This may be because of the drought. Other golf courses seem to be doing ok so I'm not sure what the deal is here. I guess you get what you pay for. I'd much rather drive to Poplar Creek in San Mateo or just play the 9 holes at Fleming.There's lots of wildlife there, including the rare and beautiful San Francisco Garter Snake and its prey species, the California Red Legged Frog. The golf course is sited on a wetland, and just recentyl, SF Rec & Park got the ok to channelize the streams - so they can manage the wetland for a golf course. This will remove wetlands for wildlife.  The two times I had breakfast there the coffee cake was burned, and the coffee was weak.A beautiful area that should be available to everyone and turned into a national park. Whoever made this a golf course did not think about sharing the beauty with all earth citizens. Shut it down.Great value for money. Greens are getting better, but still pretty slow. It's a great place to just walk, loosen your muscles and practice."
1,94102.0,PAGE/LAGUNA MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.15,5.0,114,"Page San Francisco, CA (37.77346139, -122.42524781)",37.77346139,-122.42524781,size_tiny,Hayes Valley/Tenderloin,"[Mini Park, size_tiny, Hayes Valley/Tenderloin]",ChIJs63oxqGAhYAR-7dbgXNPOR8,[premise],no reviews
2,94102.0,JEFFERSON SQUARE,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,5.64,6.0,122,"Eddy San Francisco, CA (37.78180034, -122.42565792)",37.78180034,-122.42565792,size_large,Hayes Valley/Tenderloin,"[Neighborhood Park or Playground, size_large, Hayes Valley/Tenderloin]",ChIJLa5_C72AhYAR7bHgmgQWrQo,"[park, point_of_interest, establishment]","Nice for a sunny dayI went for a run during lunch and found Jefferson Square Park. I ran around a couple of times. Hilly hills, great for strengthening calves and legs. Clean and may find guys hanging out on benches. sketchyGreat view of south of city.
Great location for a park.
Great sunning.
City crew does hell of a job cutting cleaning it up after the mess an watering in am is beter.
Bad
Too many homesless
Dogs off leash on leash side. 
alot of trash .
Can met real nice persons there or buttholes to put nice.one of sf's quieter parks ... but does have quite a nice view on clear days"
3,94102.0,HAYES VALLEY PLAYGROUND,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.61,5.0,116,"Hayes San Francisco, CA (37.77606034, -122.42736714)",37.77606034,-122.42736714,size_small,Hayes Valley/Tenderloin,"[Neighborhood Park or Playground, size_small, Hayes Valley/Tenderloin]",ChIJzaqysaOAhYARUEjadob9Ebw,"[point_of_interest, establishment]","An odd renovation that seems to have missed opportunities with the space. The basketball court seems quite good though so it depends on how one plans to use the space.They did an amazing job refurbishing the playground! There's an entire work out circuit outside! There's a lot of fun stuff for the kids & kids at heart. It was a much needed update for the kids.The basketball court is pristine, well-lit at night."
4,94102.0,MARGARET S HAYWARD PLAYGROUND,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,5.03,6.0,119,"1016 Laguna San Francisco, CA (37.78084683, -122.425427)",37.78084683,-122.425427,size_large,Hayes Valley/Tenderloin,"[Neighborhood Park or Playground, size_large, Hayes Valley/Tenderloin]",ChIJeVFrGL2AhYARY6_S6u9DguU,"[park, point_of_interest, establishment]","Not for the tennis players who are faint of heart. Whether you're contending with roving tennis doubles possees or entitled league players or the constant buzz of the security doors opening from the 911 dispatch center next door, the courts themselves, while in good condition are just not worth the mental strain."
5,94102.0,PAGE ST. COMMUNITY GARDEN,Community Garden,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.08,5.0,11976,"438 Page St San Francisco, CA (37.77362331, -122.42810149)",37.77362331,-122.42810149,size_tiny,Hayes Valley/Tenderloin,"[Community Garden, size_tiny, Hayes Valley/Tenderloin]",ChIJwZ5aoKGAhYAR9Ig2tJo88Yg,"[park, point_of_interest, establishment]",
6,94102.0,FATHER ALFRED E. BOEDDEKER PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.97,6.0,134,"295 Eddy St San Francisco, CA (37.78439513, -122.4120591)",37.78439513,-122.4120591,size_average,Hayes Valley/Tenderloin,"[Neighborhood Park or Playground, size_average, Hayes Valley/Tenderloin]",ChIJI3Iy5Y-AhYARThxWGoZAMgI,"[park, point_of_interest, establishment]","Surprisingly  Peaceful area with Good wifi access - An oasis from the nearly always crazy surroundings !This Park has gone under a transformation of great magnitudes. Gone are the dark hidden corners and sketchy persons lingering around within its borders. 
In are the new Clubhouse, yes clubhouse,
The grounds are well kept, time for a picnic.
There are new basketball courts with all the trimmings.
Playgrounds for the children.
Grass knolls strategically placed throughout the Park.
Boeddeker Park 2015 is a jewel of a park now. Worth taking the kids to play and learn.
Bonus, the Sun shines Mid-day so bright.Free wifi and the small silver tables are perfect to enjoy lunch. Afterwards you can walk around the small concrete track or play some basketball. Clean basketball court. Nice polycarbonate backboard, but very stiff rimThe dealers and druggies will always be the most prevalent activity in this park no matter how much money is spent. 
Too bad the TL is losing kids according to the census 
I am not surprised since so many of them become latchkey kids and become prisoners in their own home because of the dangerous activities that never end on the streets. 
Face it Glide is next to Boeddeker and that draws too many thugs on drugs 
The police station does not help they still blatantly deal drugs when the cops leave 
The kids notice the activity 
The JC Decaux bathroom is nothing less than a CRACK SHACK 
This was not the case in the 60s through most of the 70s and the crack epidemic and the proliferation of liquor stores has destroyed the neighborhood 
Skid Row was on Second Street when I was A kid 
Now it is 6th Street ,most of the TL and some of the Mission and Bayview.
Skid Row has grown "
7,94102.0,KOSHLAND PARK,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.82,5.0,115,"Page San Francisco, CA (37.77324835, -122.42672942)",37.77324835,-122.42672942,size_average,Hayes Valley/Tenderloin,"[Neighborhood Park or Playground, size_average, Hayes Valley/Tenderloin]",ChIJwZ5aoKGAhYAR9Ig2tJo88Yg,"[park, point_of_interest, establishment]",
8,94102.0,BUCHANAN STREET MALL,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,1.81,5.0,121,"Buchanan San Francisco, CA (37.77949531, -122.42856481)",37.77949531,-122.42856481,size_average,Hayes Valley/Tenderloin,"[Neighborhood Park or Playground, size_average, Hayes Valley/Tenderloin]",ChIJDcy-ubyAhYARHgNPUjtEswE,"[park, point_of_interest, establishment]","It's a park. It's a street. But I don't know where the mall is!!!A little dated, but an enjoyable car-free street nonetheless! 

Has a couple of playgrounds, a block apart - one for older kids & one for younger. Could use a sand cleanup."
9,94102.0,PATRICIAS GREEN IN HAYES VALLEY,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.45,5.0,59481,"btw Hayes San Francisco, CA (37.77622289, -122.42441307)",37.77622289,-122.42441307,size_small,Hayes Valley/Tenderloin,"[Mini Park, size_small, Hayes Valley/Tenderloin]",ChIJ2XVVCaKAhYARg4v2LEG2hbw,"[park, point_of_interest, establishment]","Lovely little median green space between Octavia St in Hayes Valley. I didn't realize the art installations change periodically, there was some beautiful stuff out when we were there last month. I love these little oasis where a little nature is nurtured in a big city. I come here a lot mostly for coffee and chilling out the even have access to Wi-Fi so get your ice cream coffee Wi-Fi chill good times!Nice little oasis of green set smack dab in the middle of the Hayes Valley neighborhood.  Home to a few art installations.  The permanent ones like the Ghinlon/Transcope by Po Shu Wang OR the temporary like the 10th Anniversary Temple by David Best.  Plenty of nice benches in the shade, a few with tables at the north end. Park is kept clean and nice, a great place to take your kids.Lots of people and dogs. Rotating sculpture installations. Nearby food. Good place to people watch. Kind of small. Friendly and open atmosphere.A delectable, domestic partnership of Burneresque art, convo and kisses by eve...rotate into the wee hours wit' a sip o' solidly-prepped, pretentious, OHV (Only in Hayes Valley!), cawfee. "
