Zipcode,ParkName,ParkType,ParkServiceArea,PSAManager,email,Number,Acreage,SupDist,ParkID,Location 1,Lat,Long,size,neighborhood
94044,SHARP PARK,Regional Park,Outside SF,"Castile, Steve",steve.castile@sfgov.org,(415) 841-0856,409.69,NA,10380,"1 Sharp Park Rd Pacifica, CA (37.62439438, -122.48189132)",37.62439438,-122.48189132,size_huge,Pacifica
94102,PAGE/LAGUNA MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.15,5,114,"Page San Francisco, CA (37.77346139, -122.42524781)",37.77346139,-122.42524781,size_tiny,Hayes Valley/Tenderloin
94102,JEFFERSON SQUARE,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,5.64,6,122,"Eddy San Francisco, CA (37.78180034, -122.42565792)",37.78180034,-122.42565792,size_large,Hayes Valley/Tenderloin
94102,HAYES VALLEY PLAYGROUND,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.61,5,116,"Hayes San Francisco, CA (37.77606034, -122.42736714)",37.77606034,-122.42736714,size_small,Hayes Valley/Tenderloin
94102,MARGARET S HAYWARD PLAYGROUND,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,5.03,6,119,"1016 Laguna San Francisco, CA (37.78084683, -122.425427)",37.78084683,-122.425427,size_large,Hayes Valley/Tenderloin
94102,PAGE ST. COMMUNITY GARDEN,Community Garden,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.08,5,11976,"438 Page St San Francisco, CA (37.77362331, -122.42810149)",37.77362331,-122.42810149,size_tiny,Hayes Valley/Tenderloin
94102,FATHER ALFRED E. BOEDDEKER PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.97,6,134,"295 Eddy St San Francisco, CA (37.78439513, -122.4120591)",37.78439513,-122.4120591,size_average,Hayes Valley/Tenderloin
94102,KOSHLAND PARK,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.82,5,115,"Page San Francisco, CA (37.77324835, -122.42672942)",37.77324835,-122.42672942,size_average,Hayes Valley/Tenderloin
94102,BUCHANAN STREET MALL,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,1.81,5,121,"Buchanan San Francisco, CA (37.77949531, -122.42856481)",37.77949531,-122.42856481,size_average,Hayes Valley/Tenderloin
94102,PATRICIAS GREEN IN HAYES VALLEY,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.45,5,59481,"btw Hayes San Francisco, CA (37.77622289, -122.42441307)",37.77622289,-122.42441307,size_small,Hayes Valley/Tenderloin
94102,TURK/HYDE MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.11,6,192,"Hyde San Francisco, CA (37.78274031, -122.41596297)",37.78274031,-122.41596297,size_tiny,Hayes Valley/Tenderloin
