zipcode,neighborhood
94102,Hayes Valley/Tenderloin
94103,SoMa
94104,Financial District
94105,Embarcadero South
94107,Portrero Hill
94108,Chinatown
94109,Nob Hill/Russian Hill
94110,Mission District
94111,Embarcadero North
94112,Ingleside
94114,Castro
94115,Pacific Heights/Western Addition
94116,Outer Sunset
94117,Height/Cole Valley
94118,Richmond District
94121,Outer Richmond
94122,Sunset District
94123,Cow Hollow/Marina District
94124,Bayview
94127,St Francis Wood
94129,Presidio
94131,Twin Peaks
94132,Lake Merced
94133,North beach/Fishermans Wharf
94595,Walnut Creek
94601,Oakland
94134,Visitacion Valley
94130,Treasure Island
95321,Groveland
94044,Pacifica
NA,NA
